blank,active,,filtered_blank,filtered_active,,6s_average_time,6s_average_value
-1.44592,9.29016,,-1.45769226,9.299406153,,,
-1.44617,9.28836,,-1.457544775,9.299264762,,,
-1.44675,9.28866,,-1.457406602,9.299129021,,,
-1.44641,9.28845,,-1.457265845,9.298992329,,,
-1.44675,9.28704,,-1.457131242,9.29883934,,,
-1.44904,9.28616,,-1.457027674,9.298677044,,,
-1.45047,9.28509,,-1.456943736,9.29850313,,,
-1.45026,9.28598,,-1.456858184,9.298342834,,,
-1.45175,9.28994,,-1.456792799,9.298235277,,,
-1.45258,9.2922,,-1.456738876,9.298158026,,,
-1.45151,9.29345,,-1.456671946,9.298097763,,,
-1.45194,9.29574,,-1.456611377,9.298067584,,,
-1.45392,9.29812,,-1.456576928,9.298068255,,,
-1.45499,9.30114,,-1.456556615,9.298107573,,,
-1.4563,9.30453,,-1.45655333,9.29818978,,,
-1.45978,9.30572,,-1.456594632,9.298286167,,,
-1.46338,9.30551,,-1.456681484,9.298378632,,,
-1.4643,9.30432,,-1.456779001,9.298454682,,,
-1.46545,9.30349,,-1.45688999,9.298519134,,,
-1.46637,9.30419,,-1.457011334,9.298591721,,,
-1.46536,9.30291,,-1.457118197,9.298646995,,,
-1.46329,9.30117,,-1.457197196,9.298679289,,,
-1.46372,9.29995,,-1.457280688,9.298695554,,,
-1.46344,9.29971,,-1.457359527,9.298708539,,,
-1.46271,9.30075,,-1.457428013,9.29873467,,,
-1.46356,9.30529,,-1.457506503,9.298818578,,,
-1.46549,9.30889,,-1.457608691,9.298947492,,,
-1.46512,9.31079,,-1.457704836,9.299099076,,,
-1.46436,9.31256,,-1.457790022,9.299271376,,,
-1.46442,9.31366,,-1.457874886,9.299455551,,,
-1.46417,9.31408,,-1.457955464,9.299642744,,,
-1.46256,9.31341,,-1.458014402,9.299818964,,,
-1.46222,9.30999,,-1.458068233,9.299949154,,,
-1.46286,9.30554,,-1.458129568,9.300020717,,,
-1.46252,9.30126,,-1.458185765,9.300036579,,,
-1.46182,9.29913,,-1.458232284,9.300024975,,,
-1.46332,9.30017,,-1.458297406,9.300026831,,,
-1.46442,9.3002,,-1.458375776,9.300029048,,,
-1.46442,9.29916,,-1.458453142,9.300017924,,,
-1.46594,9.29852,,-1.458548973,9.299998751,,,
-1.46887,9.29684,,-1.458681083,9.299958319,,,
-1.4697,9.29611,,-1.458822125,9.29990906,,,
-1.4708,9.29727,,-1.458975442,9.29987528,,,
-1.47327,9.29721,,-1.459158412,9.299841165,,,
-1.47437,9.29589,,-1.45935312,9.29979059,,,
-1.47424,9.29528,,-1.459543672,9.299732854,,,
-1.47421,9.29647,,-1.459731401,9.29969109,,,
-1.47372,9.29772,,-1.459910455,9.29966586,,,
-1.47119,9.29837,,-1.460054833,9.299649273,,,
-1.46899,9.29663,,-1.460169204,9.299610626,,,
-1.46869,9.29403,,-1.46027827,9.299539194,,,
-1.46808,9.29119,,-1.460378132,9.299432324,,,
-1.46649,9.28979,,-1.460456364,9.299308903,,,
-1.46634,9.29089,,-1.460531674,9.299201141,,,
-1.46695,9.29055,,-1.460613829,9.299090406,,,
-1.46597,9.28894,,-1.460682388,9.298960481,,,
-1.46573,9.28863,,-1.460746997,9.298828251,,,
-1.46634,9.2886,,-1.460818588,9.298697329,,,
-1.46555,9.28945,,-1.46087915,9.298578963,,,
-1.46411,9.29232,,-1.460920505,9.298498849,,,
-1.46426,9.29376,,-1.46096325,9.298438191,,,
-1.46442,9.29412,,-1.461007497,9.298382918,,,
-1.46277,9.29519,,-1.461030057,9.298342049,,,
-1.46234,9.2973,,-1.461046824,9.298328711,,,
-1.46274,9.30087,,-1.461068497,9.298361239,,,
-1.46274,9.3045,,-1.461089892,9.298439816,,,
-1.46085,9.30667,,-1.461086821,9.298545162,,,
-1.46008,9.30828,,-1.461073934,9.298669768,,,
-1.45801,9.30932,,-1.461034716,9.298806091,,,
-1.45386,9.31015,,-1.460942879,9.298951293,,,
-1.45087,9.31231,,-1.460813946,9.299122284,,,
-1.44907,9.31127,,-1.460663624,9.299277775,,,
-1.44733,9.30868,,-1.460492954,9.299398124,,,
-1.44644,9.3063,,-1.460313076,9.299486468,,,
-1.44931,9.30395,,-1.460172236,9.299543601,,,
-1.45337,9.30212,,-1.460085168,9.299576579,,,
-1.45667,9.30139,,-1.460041454,9.29959979,,,
-1.46118,9.29876,,-1.460056027,9.299589041,,,
-1.46585,9.29583,,-1.46013019,9.299540925,,,
-1.4678,9.29449,,-1.460228363,9.299476274,,,
-1.46774,9.29495,,-1.460324512,9.299418337,,,
-1.46811,9.29873,,-1.460424167,9.299409527,,,
-1.46671,9.30148,,-1.460504625,9.299436029,,,
-1.46353,9.30285,,-1.46054335,9.299479727,,,
-1.4624,9.30319,,-1.460567115,9.299527219,,,
-1.46234,9.30246,,-1.460589808,9.299564759,,,
-1.4613,9.30114,,-1.460598899,9.299584922,,,
-1.46149,9.30154,,-1.460610305,9.299609947,,,
-1.46249,9.29946,,-1.460634365,9.299608027,,,
-1.46323,9.29547,,-1.460667589,9.299555061,,,
-1.46219,9.29263,,-1.460687076,9.29946642,,,
-1.46234,9.29028,,-1.460708233,9.299348834,,,
-1.46365,9.28918,,-1.460745888,9.299218673,,,
-1.46323,9.28924,,-1.460777684,9.299090946,,,
-1.46393,9.28775,,-1.460818034,9.298945781,,,
-1.46689,9.2861,,-1.460895755,9.298781355,,,
-1.46939,9.28533,,-1.461004482,9.298609178,,,
-1.47015,9.28695,,-1.461121544,9.298459941,,,
-1.47266,9.29129,,-1.461269236,9.298368165,,,
-1.47412,9.29525,,-1.461433726,9.298328253,,,
-1.47293,9.29718,,-1.461580879,9.298313555,,,
-1.47064,9.29904,,-1.461696835,9.298322854,,,
-1.46881,9.29956,,-1.461787884,9.298338689,,,
-1.46521,9.30035,,-1.461831687,9.298364434,,,
-1.46106,9.30291,,-1.461821809,9.298422617,,,
-1.45886,9.30328,,-1.461783898,9.298484792,,,
-1.45877,9.30212,,-1.46174532,9.298531322,,,
-1.45865,9.30133,,-1.4617057,9.298567145,,,
-1.45981,9.30023,,-1.461681435,9.29858843,,,
-1.46243,9.29965,,-1.461691017,9.298602018,,,
-1.46356,9.29818,,-1.46171494,9.298596616,,,
-1.4631,9.29437,,-1.461732669,9.298542516,,,
-1.46408,9.28924,,-1.461762714,9.298423443,,,
-1.46454,9.28414,,-1.461798264,9.298240615,,,
-1.46414,9.28164,,-1.461828238,9.298028127,,,
-1.46448,9.28265,,-1.46186218,9.297831287,,,
-1.46695,9.28479,,-1.461927305,9.297664359,,,
-1.4682,9.28677,,-1.462007595,9.297524911,,,
-1.46829,9.29052,,-1.46208801,9.297435248,,,
-1.46735,9.29464,,-1.462155363,9.297399469,,,
-1.46256,9.29864,,-1.462160543,9.297415348,,,
-1.45709,9.30307,,-1.46209564,9.297487727,,,
-1.44959,9.30426,,-1.461935567,9.297574412,,,
-1.44275,9.3016,,-1.461689992,9.29762594,,,
-1.43991,9.29864,,-1.461411208,9.29763892,,,
-1.44016,9.29608,,-1.461139193,9.297618966,,,
-1.44135,9.29467,,-1.460885891,9.297581219,,,
-1.44598,9.2947,,-1.460695096,9.297544339,,,
-1.45166,9.29403,,-1.460579447,9.297499356,,,
-1.45459,9.29406,,-1.460502782,9.297455332,,,
-1.45584,9.29412,,-1.460443098,9.29741264,,,
-1.45557,9.29641,,-1.460380722,9.297399806,,,
-1.45395,9.30136,,-1.460298409,9.297450497,,,
-1.44986,9.30499,,-1.460164798,9.297547002,,,
-1.44763,9.3063,,-1.460004352,9.297659041,,,
-1.44806,9.30749,,-1.459851464,9.297784877,,,
-1.44714,9.30725,,-1.459688758,9.29790603,,,
-1.44717,9.30606,,-1.459528518,9.298010401,,,
-1.44904,9.30493,,-1.459394265,9.298098972,,,
-1.45047,9.30065,,-1.459280034,9.298131625,,,
-1.44995,9.29364,,-1.459160609,9.298074132,,,
-1.45062,9.2871,,-1.45905129,9.297933664,,,
-1.45203,9.28271,,-1.458961417,9.297738801,,,
-1.45151,9.28198,,-1.458866039,9.297537088,,,
-1.45203,9.28381,,-1.458778538,9.297361381,,,
-1.45432,9.28631,,-1.458721468,9.297219924,,,
-1.45609,9.28973,,-1.458687786,9.297124053,,,
-1.45602,9.29278,,-1.458653638,9.297068449,,,
-1.4566,9.29559,,-1.458627351,9.297049525,,,
-1.45685,9.29892,,-1.458604601,9.297073467,,,
-1.45441,9.29873,,-1.45855091,9.29709467,,,
-1.4527,9.29562,,-1.458476019,9.297075795,,,
-1.45212,9.2929,,-1.458394662,9.297022344,,,
-1.45139,9.29095,,-1.458305002,9.296944618,,,
-1.4509,9.2911,,-1.458210218,9.296869807,,,
